Предметы;Товары;Товары с движением;Товары с продажами;% товаров с движением;% товаров с продажами;Продажи;Выручка;Продавцы;Продавцы с продажами;% продавцов с продажами;Минимальная цена;Максимальная цена;Средняя цена;Медианная цена;Минимальная цена с продажами;Максимальная цена с продажами;Средняя цена с продажами;Медианная цена с продажами;Средний рейтинг;Средний % выкупа;Средний % выкупа с учетом возвратов
Дом / Наперники;2542;706;616;27,773406766325724;24,232887490165222;25343;10032546;180;85;47,22222222222222;0;19000;683,7714398111723;426;188;1855;450,16883116883116;380;4,722143195827407;96,52;96,19
Автомобильные товары / Подлокотники;8189;1215;879;14,836976431798755;10,733911344486506;6834;10085801;258;106;41,08527131782946;0;97000;2518,842471608255;2267;261;8067;1902,0250284414108;1897;4,200792602377807;90,47;88,42
Аксессуары / Бабочки;11814;4545;2763;38,471305231081764;23,3875063484002;22535;10101775;622;281;45,17684887459807;0;56250;728,1594718131031;524,5;118;5499;550,8226565327543;420;4,705996365838885;85,71;84,67
Садовая техника / Катушки для триммеров;2276;577;512;25,351493848857643;22,495606326889277;21198;10130799;404;170;42,07920792079208;50;14250;941,5026362038665;707;164;7102;725,904296875;594;4,228421970357454;96,17;95,61
Белье / Неглиже;1852;702;467;37,904967602591796;25,21598272138229;7172;10139832;229;110;48,03493449781659;59;18546;2303,035637149028;1713,5;59;7560;1897,473233404711;1523;4,15874079035499;70,03;69,97
Для праздника / Карнавальные очки;2235;735;544;32,88590604026845;24,340044742729305;24909;10230486;417;186;44,60431654676259;0;44485;542,7539149888144;391;68;5625;458,8382352941176;409;4,360518292682927;90,72;90
Смартфоны и аксессуары / Чехлы-бамперы для телефонов;21598;6682;3683;30,938049819427725;17,052504861561257;25177;10268069;644;278;43,16770186335403;50;100000;561,7108065561627;390;50;9630;523,4982351344013;370;4,514614382867892;93,03;92,29
Товары для малышей / Накладки на соски;573;239;208;41,71029668411867;36,3001745200698;27292;10293099;201;95;47,26368159203981;60;19000;1122,303664921466;604;180;2720;565,0961538461538;389;4,308641975308642;95,81;95,79
Красота / Клей для ламинирования ресниц;743;302;272;40,646029609690444;36,60834454912517;13990;10386248;163;85;52,147239263803684;126;10314;1085,4051144010766;751;126;6140;1009,8566176470588;709;4,193293885601578;95,84;95,73
Товары для малышей / Органайзеры на коляску;1361;562;420;41,29316678912564;30,85966201322557;8623;10425399;313;132;42,17252396166134;191;19000;1871,5944158706834;1172;191;5229;1377,0333333333333;1157;4,64576802507837;82,87;79,84
Аксессуары / Митенки;5485;2407;1281;43,88331814038286;23,354603463992706;31611;10459429;566;264;46,64310954063604;44;14490;1101,076937101185;702;100;9405;762,2037470725995;506;4,638548752834467;93,72;93,39
Красота / Пинцеты для наращивания ресниц;3847;1445;1105;37,561736417988044;28,72368079022615;20431;10526702;383;182;47,51958224543081;50;19000;861,4517806082662;741;89;4003;782,3113122171945;659;4,060419681620839;90,08;89,99
Продукты / Закваски;2253;559;513;24,811362627607632;22,769640479360852;38658;10527625;133;64;48,1203007518797;50;39000;1142,9374167776298;462;56;8332;425,94736842105266;308;4,441152922337871;98,97;98,92
Спецодежда и СИЗы / Тапочки одноразовые;2050;694;541;33,853658536585364;26,390243902439025;17526;10544568;362;150;41,43646408839779;50;51127;1607,429756097561;660;50;10399;871,7116451016636;510;4,343002175489485;95,24;95,2
Ювелирные украшения / Ювелирные шармы;7504;2583;1698;34,42164179104477;22,627931769722814;9648;10598726;103;52;50,48543689320388;199;38500;2288,4548240938166;1390;362;22140;1742,902237926973;1144,5;4,724092284417549;91,52;91,45
Белье / Пояса для чулок;2828;1007;655;35,60820367751061;23,16124469589816;14380;10629858;440;207;47,04545454545454;63;50000;2032,5116690240452;994,5;137;8532;965,2717557251908;699;4,549659863945578;86,99;86,93
Красота / Прокладки от пота;1278;638;566;49,92175273865415;44,28794992175274;30922;10642194;386;172;44,55958549222798;48;19000;626,4874804381847;369;50;3791;489,386925795053;320;4,508413461538462;97,12;97,12
Рукоделие / Формы для свечей;6026;2641;1764;43,82675074676403;29,273149684699636;16607;10659029;290;156;53,793103448275865;60;19000;1155,425323597743;957;97;6574;1012,3871882086167;855,5;4,763503000666815;93,11;92,58
Спортивный товар / Велокамеры;6136;1286;989;20,958279009126468;16,11799217731421;32576;10692644;340;155;45,588235294117645;38;49500;1868,0461212516298;500;94;3562;442,90798786653187;360;4,260448916408668;96,18;96,01
Автомобильные товары / Уплотнители автомобильные;5611;904;683;16,111210122972732;12,172518267688469;19135;10749682;279;113;40,50179211469534;50;97000;2159,831224380681;641;130;4730;738,4377745241582;529;4,444130925507901;95,29;94,71
Спортивная обувь / Чешки;2592;1271;926;49,035493827160494;35,7253086419753;23657;10828764;413;221;53,51089588377724;0;82000;642,2939814814815;419;0;4698;513,4665226781857;476;4,289739500265816;64,79;60,46
